id_matricula;id_aluno;id_disciplina;semestre;status
M001;A001;D001;2026.1;Ativa
M002;A001;D002;2026.1;Ativa
M003;A001;D003;2026.1;Ativa
M004;A002;D001;2026.1;Ativa
M005;A002;D002;2026.1;Ativa
M006;A002;D003;2026.1;Ativa
M007;A003;D001;2026.1;Ativa
M008;A003;D002;2026.1;Ativa
M009;A003;D003;2026.1;Ativa
M010;A004;D001;2026.1;Ativa
M011;A004;D002;2026.1;Ativa
M012;A004;D003;2026.1;Ativa
M013;A005;D001;2026.1;Ativa
M014;A005;D002;2026.1;Ativa
M015;A005;D003;2026.1;Ativa
M016;A006;D001;2026.1;Ativa
M017;A006;D002;2026.1;Ativa
M018;A006;D003;2026.1;Ativa
M019;A007;D001;2026.1;Ativa
M020;A007;D002;2026.1;Ativa
M021;A007;D003;2026.1;Ativa
M022;A008;D001;2026.1;Ativa
M023;A008;D002;2026.1;Ativa
M024;A008;D003;2026.1;Ativa
M025;A009;D004;2026.1;Ativa
M026;A009;D005;2026.1;Ativa
M027;A009;D006;2026.1;Ativa
M028;A010;D004;2026.1;Ativa
M029;A010;D005;2026.1;Ativa
M030;A010;D006;2026.1;Ativa
M031;A011;D004;2026.1;Ativa
M032;A011;D005;2026.1;Ativa
M033;A011;D006;2026.1;Ativa
M034;A012;D004;2026.1;Ativa
M035;A012;D005;2026.1;Ativa
M036;A012;D006;2026.1;Ativa
M037;A013;D004;2026.1;Ativa
M038;A013;D005;2026.1;Ativa
M039;A013;D006;2026.1;Ativa
M040;A014;D004;2026.1;Ativa
M041;A014;D005;2026.1;Ativa
M042;A014;D006;2026.1;Ativa
M043;A015;D004;2026.1;Ativa
M044;A015;D005;2026.1;Ativa
M045;A015;D006;2026.1;Ativa
M046;A016;D007;2026.1;Ativa
M047;A016;D008;2026.1;Ativa
M048;A016;D009;2026.1;Ativa
M049;A017;D007;2026.1;Ativa
M050;A017;D008;2026.1;Ativa
M051;A017;D009;2026.1;Ativa
M052;A018;D007;2026.1;Ativa
M053;A018;D008;2026.1;Ativa
M054;A018;D009;2026.1;Ativa
M055;A019;D007;2026.1;Ativa
M056;A019;D008;2026.1;Ativa
M057;A019;D009;2026.1;Ativa
M058;A020;D007;2026.1;Ativa
M059;A020;D008;2026.1;Ativa
M060;A020;D009;2026.1;Ativa
M061;A021;D007;2026.1;Ativa
M062;A021;D008;2026.1;Ativa
M063;A021;D009;2026.1;Ativa
M064;A022;D007;2026.1;Ativa
M065;A022;D008;2026.1;Ativa
M066;A022;D009;2026.1;Ativa
M067;A023;D010;2026.1;Ativa
M068;A023;D011;2026.1;Ativa
M069;A023;D012;2026.1;Ativa
M070;A024;D010;2026.1;Ativa
M071;A024;D011;2026.1;Ativa
M072;A024;D012;2026.1;Ativa
M073;A025;D010;2026.1;Ativa
M074;A025;D011;2026.1;Ativa
M075;A025;D012;2026.1;Ativa
M076;A026;D010;2026.1;Ativa
M077;A026;D011;2026.1;Ativa
M078;A026;D012;2026.1;Ativa
M079;A027;D010;2026.1;Ativa
M080;A027;D011;2026.1;Ativa
M081;A027;D012;2026.1;Ativa
M082;A028;D010;2026.1;Ativa
M083;A028;D011;2026.1;Ativa
M084;A028;D012;2026.1;Ativa
M085;A029;D010;2026.1;Ativa
M086;A029;D011;2026.1;Ativa
M087;A029;D012;2026.1;Ativa
M088;A030;D010;2026.1;Ativa
M089;A030;D011;2026.1;Ativa
M090;A030;D012;2026.1;Ativa
M091;A001;D001;2026.2;Concluida
M092;A002;D002;2026.2;Concluida
M093;A003;D003;2026.2;Concluida
M094;A004;D001;2026.2;Concluida
M095;A005;D002;2026.2;Concluida
M096;A006;D003;2026.2;Concluida
M097;A007;D001;2026.2;Concluida
M098;A008;D002;2026.2;Concluida
M099;A009;D004;2026.2;Concluida
M100;A010;D005;2026.2;Concluida
