id_cliente;idade;cidade;estado;renda;quantidade_compras;valor_total_compras
C001;18;Sao Paulo;SP;2200;3;540
C002;19;Campinas;SP;2500;5;1250
C003;20;Santos;SP;2800;2;360
C004;21;Sao Paulo;SP;3100;6;1680
C005;22;Campinas;SP;3400;4;920
C006;;Santos;SP;3700;8;2400
C007;24;Sao Paulo;SP;;3;750
C008;25;Campinas;;4300;7;1960
C009;18;Santos;SP;2100;;300
C010;250;Sao Paulo;SP;2400;5;1100
C011;20;Campinas;XX;2700;4;880
C012;21;Santos;SP;-3000;6;1500
C013;22;Sao Paulo;SP;3300;-10;690
C014;23;Campinas;SP;3600;9;2700
C015;24;Santos;SP;3900;5;1350
C016;25;Sao Paulo;SP;4200;7;2100
C017;18;Campinas;SP;2300;2;320
C018;19;Santos;SP;2600;4;840
C019;20;Sao Paulo;SP;2900;6;1440
C020;21;Campinas;SP;3200;3;630
C021;26;Sao Paulo;SP;4500;5;1500
C022;27;Campinas;SP;4800;8;2640
C023;28;Santos;SP;5200;4;1280
C024;29;Sao Paulo;SP;5600;9;3150
C025;30;Campinas;SP;6000;6;2100
C026;;Santos;SP;6400;7;2450
C027;32;Sao Paulo;SP;;3;990
C028;33;Campinas;;7200;10;3800
C029;34;Santos;SP;7600;;1750
C030;-5;Sao Paulo;SP;8000;8;3200
C031;26;Rio de Janeiro;XX;3800;4;1080
C032;27;Niteroi;RJ;-1000;6;1800
C033;28;Rio de Janeiro;RJ;4600;-3;870
C034;29;Niteroi;RJ;5000;7;2240
C035;30;Rio de Janeiro;RJ;5400;5;1600
C036;31;Niteroi;RJ;5800;8;2800
C037;32;Rio de Janeiro;RJ;6200;4;1400
C038;33;Niteroi;RJ;6600;9;3420
C039;34;Rio de Janeiro;RJ;7000;6;2280
C040;35;Niteroi;RJ;7400;7;2660
C041;26;Rio de Janeiro;RJ;4000;3;780
C042;27;Niteroi;RJ;4400;5;1450
C043;28;Rio de Janeiro;RJ;4800;8;2560
C044;29;Niteroi;RJ;5200;4;1160
C045;30;Rio de Janeiro;RJ;5600;6;1980
C046;;Niteroi;RJ;6000;9;3330
C047;32;Rio de Janeiro;RJ;;5;1750
C048;33;Niteroi;;6800;7;2590
C049;34;Rio de Janeiro;RJ;7200;;1320
C050;35;Niteroi;RJ;7600;8;3040
C051;26;Rio de Janeiro;RJ;4100;3;720
C052;27;Niteroi;RJ;4500;6;1740
C053;28;Rio de Janeiro;RJ;4900;5;1550
C054;29;Niteroi;RJ;5300;7;2380
C055;30;Rio de Janeiro;RJ;5700;4;1280
C056;36;Belo Horizonte;MG;5000;5;1500
C057;37;Uberlandia;MG;5400;8;2720
C058;38;Belo Horizonte;MG;5800;4;1320
C059;39;Uberlandia;MG;6200;7;2450
C060;40;Belo Horizonte;MG;6600;6;2100
C061;41;Uberlandia;MG;7000;9;3420
C062;42;Belo Horizonte;MG;7400;3;990
C063;43;Uberlandia;MG;7800;8;2960
C064;44;Belo Horizonte;MG;8200;5;1850
C065;45;Uberlandia;MG;8600;7;2660
C066;;Belo Horizonte;MG;5200;4;1160
C067;37;Uberlandia;MG;;6;1920
C068;38;Belo Horizonte;;6000;5;1650
C069;39;Uberlandia;MG;6400;;2880
C070;40;Belo Horizonte;MG;6800;3;960
C071;41;Uberlandia;MG;7200;7;2450
C072;42;Belo Horizonte;MG;7600;6;2100
C073;43;Uberlandia;MG;8000;9;3510
C074;44;Belo Horizonte;MG;8400;4;1440
C075;45;Uberlandia;MG;8800;8;3040
C076;46;Curitiba;PR;6000;4;1320
C077;47;Londrina;PR;6500;7;2520
C078;48;Curitiba;PR;7000;5;1800
C079;49;Londrina;PR;7500;8;3040
C080;50;Curitiba;PR;8000;6;2220
C081;51;Londrina;PR;8500;9;3510
C082;52;Curitiba;PR;9000;3;1140
C083;53;Londrina;PR;9500;7;2730
C084;54;Curitiba;PR;10000;5;1950
C085;55;Londrina;PR;10500;8;3280
C086;;Curitiba;PR;11000;4;1600
C087;57;Londrina;PR;;6;2460
C088;58;Curitiba;;12000;7;3010
C089;59;Londrina;PR;12500;;2200
C090;60;Curitiba;PR;13000;9;4050
C091;46;Salvador;BA;4500;3;810
C092;48;Feira de Santana;BA;5000;5;1450
C093;50;Salvador;BA;5500;7;2380
C094;52;Feira de Santana;BA;6000;4;1280
C095;54;Salvador;BA;6500;8;2960
C096;56;Feira de Santana;BA;7000;6;2100
C097;58;Salvador;BA;7500;9;3420
C098;60;Feira de Santana;BA;8000;3;1050
C099;47;Salvador;BA;8500;5;1750
C100;49;Feira de Santana;BA;9000;7;2660
