id_venda,data,valor_total,quantidade_itens,desconto_percentual
V001,2026-08-01,120.0,3,5
V002,2026-08-02,85.5,2,0
V003,2026-08-03,240.0,5,10
V004,2026-08-04,310.0,6,15
V005,2026-08-05,95.0,2,5
V006,2026-08-06,180.0,4,10
V007,2026-08-07,420.0,8,20
V008,2026-08-08,150.0,3,5
V009,2026-08-09,275.0,5,10
V010,2026-08-10,205.0,4,10
V011,2026-08-11,5800.0,1,90
V012,2026-08-12,130.0,3,5
V013,2026-08-13,360.0,7,15
V014,2026-08-14,72.0,1,0
V015,2026-08-15,215.0,4,10
V016,2026-08-16,330.0,6,15
V017,2026-08-17,35.0,25,0
V018,2026-08-18,165.0,3,5
V019,2026-08-19,290.0,5,10
V020,2026-08-20,4200.0,2,85
